TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AALR3;18,40;;-392,42;1,83;0,87;31,33;7,76;-0,49;25,03;32,45;7,38;0,54;1,94;-22,02;-1,08;0,83;-0,47;-0,22;4,41;0,48;0,52;0,45;3,62;;9.533.963,15;10,22;-0,05;4,16;2.188.417.096,00
ABCB4;15,94;6,34;6,33;0,78;0,07;23,86;18,43;13,98;4,81;4,81;;;0,89;-6,10;-0,08;0,72;12,25;1,16;;0,09;0,91;0,08;7,15;7,87;15.040.309,35;20,65;2,53;0,08;3.606.137.382,10
ABEV3;15,03;4,04;18,55;2,80;1,70;51,05;23,29;17,39;13,86;12,96;-0,91;-0,18;3,23;-982,46;-2,35;0,99;15,08;9,14;18,74;0,61;0,39;0,53;9,82;0,20;389.492.508,19;5,34;0,80;1,63;235.382.761.050,45
ADHM3;1,56;;-4,09;-1,29;105,12;100,00;-13.548,48;-18.860,61;-5,69;-5,69;0,00;;770,90;-1,43;-116,16;0,00;-31,47;-2.571,90;22,61;-81,72;82,72;0,14;;;;-1,21;-0,38;-0,58;25.439.770,20
AERI3;6,20;0,34;67,33;4,66;1,51;11,54;8,36;2,78;22,41;25,09;2,72;0,57;1,87;3,65;-4,23;2,80;6,92;2,24;8,06;0,32;0,68;0,81;;;13.022.689,92;1,30;0,09;-1,73;4.796.496.234,56
AESB3;11,51;1,99;12,81;1,42;0,48;16,81;8,41;36,44;55,52;99,37;43,81;1,12;4,67;10,85;-0,60;1,29;11,05;3,76;-4,65;0,34;0,66;0,10;;;18.341.896,38;8,20;0,91;;5.683.830.017,25
AFLT3;9,60;6,56;6,07;2,45;2,19;88,64;85,80;82,95;5,87;5,70;-0,17;-0,07;5,03;12,00;-2,82;5,86;40,32;36,17;39,86;0,90;0,10;0,44;30,86;47,52;9.984,65;3,92;1,58;0,01;605.613.120,00
AGRO3;33,93;7,76;8,12;1,41;0,95;27,33;21,57;45,98;17,31;16,79;-0,56;-0,05;3,73;2,89;-1,87;3,04;17,36;11,72;5,41;0,68;0,32;0,26;55,29;121,45;34.707.303,38;23,95;4,16;0,03;3.511.531.374,40
AGXY3;10,65;;2.757,31;1,25;0,27;6,94;-2,02;0,02;-23,45;-31,58;-8,10;0,43;0,47;3,37;-1,34;1,11;0,05;0,01;-3,43;0,22;0,78;0,57;;;1.267.620,96;8,63;0,00;;1.776.579.885,60
AHEB3;27,50;;-3,15;-3,32;0,75;28,13;-24,82;-42,95;-5,45;-4,99;0,53;;1,35;-53,36;-1,08;0,96;-105,53;-23,80;60,99;-0,23;1,23;0,55;-1,24;;4.125,00;-8,28;-8,73;-0,01;238.221.493,00
